title	type	category	collection	url_slug	venue	date	location	talk_url	place	conf
"Concordance structures
of sets of 8 to 10-dimensional manifolds"	Talk	conferences	conferences	Conf_YTM	University of Münster	2024-08-05	Münster, Germany		Germany	Young Topologists Meet-2024
Smooth structures on connected sum of projective spaces	Talk	conferences	conferences	Conf_TA	University of Patras	2023-07-03	Nafpaktos, Greece		Nafpaktos, Greece	International Conference on Topology and its Application-2023
On the stable cohomotopy and KO-groups of connected sum of projective spaces	Talk	conferences	conferences	Conf_RMS	SSN College of Engineering	2022-12-06	Thiruporur, India		Chennai, India	37th Annual Conference of the Ramanujan Mathematical Society
International Conference on Algebra and Analysis	Talk	conferences	conferences	Conf_AA	University of Pune	2017-12-19	Pune, India		Pune, India	In the honor of Prof. S. A. Katre and Dr. Hemant Bhate
Classifying Spaces of Categories	Talk	talks	talks	TRTS	Dept of Mathematics, IIT Bombay	2024-02-07	Powai, India		Mumbai, India	Topology and Related Topics Seminar
Quillen equivalent stable homotopy categories	Talk	talks	talks	TRTS	Dept of Mathematics, IIT Bombay	2023-08-20	Powai, India		Mumbai, India	Topology and Related Topics Seminar
A brief introduction to the stable homotopy category	Talk	talks	talks	TRTS	Dept of Mathematics, IIT Bombay	2023-08-15	Powai, India		Mumbai, India	Topology and Related Topics Seminar
Essential Categorical Terms for Stable Homotopy Theory	Talk	talks	talks	TRTS	Dept of Mathematics, IIT Bombay	2023-08-01	Powai, India		Mumbai, India	Topology and Related Topics Seminar
Introduction to Spectra and Stable Homotopy Category	Talk	talks	talks	DuTA	ICTS, TIFR Bengaluru	2023-05-12	Bangalore, India		Bangalore, India	Dualities in Topology and Algebra 2023
Spectra and stable homotopy category	Talk	talks	talks	Tt-cat	Online seminar series	2023-03-12	Powai, India		Online	tt-category and Chromatic Homotopy Theory
Simplicial sets arising from categories	Talk	expository	expository	SS	Dept of Mathematics, IIT Bombay	2023-09-01	Powai, India		Mumbai, India	Student Seminar 37
A brief introduction to the fiber bundle	Talk	expository	expository	SS	Dept of Mathematics, IIT Bombay	2023-04-12	Powai, India		Mumbai, India	Student Seminar 19
Operads in Topology	Talk	workshops	workshops	NCM	Dept of Mathematics, IIT Bombay	2024-11-28	Powai, India		Mumbai, India	NCM Workshop
Hochschild Homology	Talk	workshops	workshops	NCM	Dept of Mathematics, IISER Kolkata	2023-12-04	Kolkata, India		Kolkata, India	NCM Workshop
Cohen Macaulay simplicial complexes in graph theory	Talk	workshops	workshops	NCM	Chennai Mathematical Institute	2023-07-13	Siruseri, Chennai, India		Chennai, India	NCM Workshop
Dualities in Topology and Algebra	Talk	workshops	workshops	ICTS-DA	ICTS, TIFR Bengaluru	2023-05-15	Bangalore, India		Bangalore, India	ICTS Workshop
Dualities in Topology and Algebra	Talk	workshops	workshops	ICTS-DA2	ICTS, TIFR Bengaluru	2021-02-11	Bangalore, India		Online workshop	ICTS Workshop
Global Homotopy Theory	Talk	workshops	workshops	GHT	Dept of Mathematics, IIT Bombay	2020-02-08	Powai, India		Mumbai, India	NCM Workshop
Diamond Jubilee Symposium	Talk	workshops	workshops	DJS	Dept of Mathematics, IIT Bombay	2019-01-01	Powai, India		Mumbai, India	
Annual Foundation School-II	Talk	workshops	workshops	AFS-II	IISER Pune	2018-11-12	Baner, Pune, India		Pune, India	NCM-ATM school
Annual Foundation School-I	Talk	workshops	workshops	AFS-I	Bhaskaracharya Pratishthana	2017-06-14	Erandwane, Pune, India		Pune, India	NCM-ATM school
